title,author,subject,year,abstract,tags,availability
Component software,Clemens Szyperski,Computer Science,1997,Topics: computer science,computer science,available
Unsupervised learning,Terrence J. Sejnowski,Computer Science,1999,Topics: computer science,computer science,available
Introduction to high performance computing for scientists and engineers,Georg Hager,Computer Science,2010,Topics: computer science,computer science,available
Principles of Electromagnetic Waves and Materials,Dikshitulu K. Kalluri,Computer Science,2013,Topics: computer science,computer science,unavailable
"Human factors in system design, development, and testing",David Meister; Thomas P. Enderwick,Computer Science,2001,Topics: computer science,computer science,available
"Essentials of electronic testing for digital, memory, and mixed-signal VLSI circuits",Michael L. Bushnell; Vishwani D. Agrawal,Computer Science,2000,Topics: computer science,computer science,available
Gigged,Sarah Kessler,Computer Science,2018,Topics: computer science,computer science,available
Autodesk Maya 2022 Basics Guide,Kelly Murdock,Computer Science,2021,Topics: computer science,computer science,available
Understanding algorithms and data structures,David Brunskill; John Turner,Computer Science,1996,Topics: computer science,computer science,unavailable
Principles of transaction processing,Philip A. Bernstein; Eric Newcomer,Computer Science,1997,Topics: computer science,computer science,available
Recent Advances in Natural Computing,Yasuhiro Suzuki; Masami Hagiya,Computer Science,2014,Topics: computer science,computer science,unavailable
Histoire d'algorithmes,Jean-Luc Chabert; E. Barbin,Computer Science,1994,Topics: computer science,computer science,available
Quantitative and statistical research methods,William E. Martin,Computer Science,2012,Topics: computer science,computer science,unavailable
Computational Mathematics,Robert E. White,Computer Science,2003,Topics: computer science,computer science,available
Developing multi-agent systems with jade,Fabio Luigi Bellifemine; Giovanni Caire; Dominic Greenwood,Computer Science,2007,Topics: computer science,computer science,available
Fundamentals of computing I,Allen B. Tucker; Andrew Bernat; W. James Bradley,Computer Science,1995,Topics: computer science,computer science,available
IBM SPSS for Intermediate Statistics,Nancy L. Leech,Computer Science,2012,Topics: computer science,computer science,unavailable
"Potential-field computer programs, databases, and maps",Viki Bankey,Computer Science,1997,Topics: computer science,computer science,available
Database and Expert Systems Applications,Sven Hartmann; Hui Ma,Computer Science,2016,Topics: computer science,computer science,available
Cryptography,Robert Curley; Britannica Educational Publishing Staff,Computer Science,2013,Topics: computer science,computer science,unavailable
Java Programming Fundamentals,Premchand S. Nair,Computer Science,2008,Topics: computer science,computer science,available
Spreadsheet Modeling and Decision Analysis,Cliff Ragsdale; Cliff T. Ragsdale,Computer Science,2003,Topics: computer science,computer science,unavailable
Writing secure code,Michael Howard; David LeBlanc,Computer Science,2001,Topics: computer science,computer science,available
Discrete Mathematics and Applications,Kevin Ferland,Computer Science,2017,Topics: computer science,computer science,available
Press On,Harold Thimbleby,Computer Science,2007,Topics: computer science,computer science,available
Decision Support and Business Intelligence Systems,Efraim Turban,Computer Science,2006,Topics: computer science,computer science,available
Artificial life,Steven Levy,Computer Science,1992,Topics: computer science,computer science,available
Introduction to Topological Quantum Matter and Quantum Computation,Tudor D. Stanescu,Computer Science,2016,Topics: computer science,computer science,available
Essentials of Cloud Computing,K. Chandrasekaran,Computer Science,2014,Topics: computer science,computer science,available
Frontiers of Computing Systems Research,Stuart K. Tewksbury,Computer Science,1990,Topics: computer science,computer science,available
Android malware and analysis,Ken Dunham,Computer Science,2014,Topics: computer science,computer science,available
Antennas and wave propagation,A. R. Harish; M. Sachidananda,Computer Science,2007,Topics: computer science,computer science,available
Discrete Mathematics by Example,Andrew Simpson,Computer Science,2001,Topics: computer science,computer science,available
Software requirements engineering,Sidney C. Bailin; M. Dorfman; Richard H. Thayer,Software Engineering,1997,Topics: software engineering,software engineering,available
Sams teach yourself SAP in 24 hours,"George W. Anderson; Anderson, George; Danielle Signorile Larocca",Software Engineering,2005,Topics: software engineering,software engineering,available
Formal Techniques for Safety-Critical Systems,Cyrille Artho; Peter Csaba Ölveczky,Software Engineering,2014,Topics: software engineering,software engineering,available
Think Black,Clyde W. Ford,Software Engineering,2019,"A Memoir of Sacrifice, Success, and Self-Loathing in Corporate America",software engineering,available
Quantum computing,Mikio Nakahara; Tetsuo Ohmi,Software Engineering,2008,Topics: software engineering,software engineering,available
The human factor,Kim J. Vicente,Software Engineering,2003,Topics: software engineering,software engineering,available
Applying use cases,Geri Schneider; Jason P. Winters,Software Engineering,1998,Topics: software engineering,software engineering,available
IT Project Proposals,Paul Coombs,Software Engineering,2005,Topics: software engineering,software engineering,available
Software Development,Marc Hamilton,Software Engineering,1999,Topics: software engineering,software engineering,available
Software engineering environments,Ian Sommerville,Software Engineering,1986,Topics: software engineering,software engineering,unavailable
Software Paradigms,Stephen H. Kaisler,Software Engineering,2005,Topics: software engineering,software engineering,available
Integrated software reuse,Neil Maiden,Software Engineering,1993,Topics: software engineering,software engineering,unavailable
Component Based Software Engineering,Umesh Kumar Tiwari; Santosh Kumar,Software Engineering,2020,Topics: software engineering,software engineering,available
Introduction to Middleware,Letha Hughes Etzkorn,Software Engineering,2017,Topics: software engineering,software engineering,available
Software development failures,Kweku Ewusi-Mensah,Software Engineering,2003,Topics: software engineering,software engineering,available
Contemporary artificial intelligence,Richard E. Neapolitan,Software Engineering,2012,Topics: software engineering,software engineering,available
An integrated approach to software engineering,P. Jalote,Software Engineering,1991,Topics: software engineering,software engineering,available
IAENG Transactions on Engineering Technologies,Gi-Chul Yang,Software Engineering,2012,Topics: software engineering,software engineering,available
Software Process Quality,Ron Kenett; Ron S. Kenett; Emanuel Baker,Software Engineering,1999,Topics: software engineering,software engineering,available
Guide to Software Development,Arthur M. Langer,Software Engineering,2012,Topics: software engineering,software engineering,available
Programming as if people mattered,Nathaniel S. Borenstein,Software Engineering,1991,Topics: software engineering,software engineering,available
Death March,Edward Yourdon,Software Engineering,1997,Topics: software engineering,software engineering,available
Case study research in software engineering,Austen Rainer,Software Engineering,2012,Topics: software engineering,software engineering,available
Managing and Leading Software Projects,Richard E. Fairley,Software Engineering,2008,Topics: software engineering,software engineering,available
Reliability and availability of cloud computing,Eric Bauer,Software Engineering,2012,Topics: software engineering,software engineering,available
Elements of programming interviews,Adnan Aziz,Software Engineering,2017,Topics: software engineering,software engineering,available
Software Engineering,"Schmidt, Richard",Software Engineering,2013,Topics: software engineering,software engineering,available
Managing software requirements,Dean Leffingwell,Software Engineering,1999,Topics: software engineering,software engineering,available
Introduction to Software Testing,Paul Ammann; Jeff Offutt,Software Engineering,2008,Topics: software engineering,software engineering,available
Recent Advancements in Software Reliability Assurance,Adarsh Anand; Mangey Ram,Software Engineering,2019,Topics: software engineering,software engineering,available
Developing Safety-Critical Software,Leanna Rierson,Software Engineering,2013,Topics: software engineering,software engineering,unavailable
